molecule,functional,wavelength_nm,energy_eV,f
benzene,B3LYP,176.45,7.0268,0.57817
benzene,B3LYP,176.44,7.0268,0.57825
benzene,B3LYP,161.08,7.697,0.01021
benzene,B3LYP,153.79,8.0619,0.0164
benzene,CAM-B3LYP,174.22,7.1165,0.60057
benzene,CAM-B3LYP,174.22,7.1165,0.60064
benzene,CAM-B3LYP,155.51,7.9728,0.01123
benzene,CAM-B3LYP,146.77,8.4474,0.02023
aniline,B3LYP,264.92,4.6801,0.03676
aniline,B3LYP,231.73,5.3504,0.06159
aniline,B3LYP,220.84,5.6142,0.06926
aniline,B3LYP,198.16,6.2569,0.00036
aniline,B3LYP,194.34,6.3797,0.02575
aniline,B3LYP,189.49,6.5432,0.14578
aniline,B3LYP,185.84,6.6716,0.58145
aniline,B3LYP,180.93,6.8527,0.01085
aniline,B3LYP,168.62,7.353,0.00864
aniline,B3LYP,167.36,7.4081,0.00197
aniline,B3LYP,162.31,7.6385,0.00947
aniline,CAM-B3LYP,254.77,4.8666,0.04093
aniline,CAM-B3LYP,221.04,5.6092,0.11268
aniline,CAM-B3LYP,210.17,5.8993,0.01679
aniline,CAM-B3LYP,184.22,6.7304,0.15366
aniline,CAM-B3LYP,182.42,6.7967,0.49582
aniline,CAM-B3LYP,181.02,6.8491,0.12315
aniline,CAM-B3LYP,179.11,6.9224,0.1397
aniline,CAM-B3LYP,157.47,7.8737,0.0165
aniline,CAM-B3LYP,156.06,7.9445,0.00323
aniline,CAM-B3LYP,155.53,7.9715,0.00313
aniline,CAM-B3LYP,153.78,8.0625,0.01021
nitrobenzene,B3LYP,285.75,4.3389,0.00019
nitrobenzene,B3LYP,283.02,4.3808,0.01445
nitrobenzene,B3LYP,259.33,4.7809,0.1968
nitrobenzene,B3LYP,209.29,5.924,0.00242
nitrobenzene,B3LYP,203.96,6.0789,0.0561
nitrobenzene,B3LYP,193.09,6.421,0.19064
nitrobenzene,B3LYP,180.13,6.883,0.00678
nitrobenzene,CAM-B3LYP,276.53,4.4836,0.00025
nitrobenzene,CAM-B3LYP,255.35,4.8554,0.01818
nitrobenzene,CAM-B3LYP,239.78,5.1708,0.20988
nitrobenzene,CAM-B3LYP,199.02,6.2296,0.00213
nitrobenzene,CAM-B3LYP,189.5,6.5428,0.16951
nitrobenzene,CAM-B3LYP,187.59,6.6093,0.27423
nitrobenzene,CAM-B3LYP,163.63,7.5773,0.00023
nitrobenzene,CAM-B3LYP,162.54,7.6277,0.2618
nitrobenzene,CAM-B3LYP,162.1,7.6487,0.46736
nitrobenzene,CAM-B3LYP,161.69,7.6678,0.00132
pNA,B3LYP,311.24,3.9836,0.32146
pNA,B3LYP,279.33,4.4387,0.00024
pNA,B3LYP,274.3,4.52,0.00078
pNA,B3LYP,247.09,5.0177,0.05737
pNA,B3LYP,218.91,5.6637,0.00309
pNA,B3LYP,203.32,6.098,0.00038
pNA,B3LYP,201.72,6.1465,0.06678
pNA,B3LYP,191.0,6.4914,0.05167
pNA,B3LYP,188.26,6.5856,0.21514
pNA,CAM-B3LYP,281.63,4.4024,0.37545
pNA,CAM-B3LYP,271.12,4.5731,0.0003
pNA,CAM-B3LYP,258.97,4.7876,0.00706
pNA,CAM-B3LYP,221.69,5.5926,0.07726
pNA,CAM-B3LYP,204.72,6.0563,0.00136
pNA,CAM-B3LYP,194.2,6.3844,0.01891
pNA,CAM-B3LYP,190.94,6.4935,0.15212
pNA,CAM-B3LYP,177.9,6.9693,0.53589
pNA,CAM-B3LYP,175.83,7.0514,0.00038
pNA,CAM-B3LYP,168.71,7.3492,0.00468
